Class Name,Instance Side Definition,Class Side Definition
IRPop,"IRInstruction subclass: #IRPop 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Core-IR-Nodes'","IRPop class 	instanceVariableNames: ''"
GLMRubTextFieldMorph,"RubTextFieldMorph subclass: #GLMRubTextFieldMorph 	instanceVariableNames: 'customHeight' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Morphic-Brick-Morphic'","GLMRubTextFieldMorph class 	instanceVariableNames: ''"
WeakValueDictionaryTest,"DictionaryTest subclass: #WeakValueDictionaryTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Tests-Weak'","WeakValueDictionaryTest class 	instanceVariableNames: ''"
LazyClassListExample,"ClassListExample subclass: #LazyClassListExample 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Examples-MorphTreeWidget'","LazyClassListExample class 	instanceVariableNames: ''"
TextFontReferenceTest,"HashAndEqualsTestCase subclass: #TextFontReferenceTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Text-Tests'","TextFontReferenceTest class 	instanceVariableNames: ''"
AbstractTutorialTest,"TestCase subclass: #AbstractTutorialTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'ProfStef-Tests'","AbstractTutorialTest class 	instanceVariableNames: ''"
IRTempVector,"IRInstruction subclass: #IRTempVector 	instanceVariableNames: 'name vars' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Core-IR-Nodes'","IRTempVector class 	instanceVariableNames: ''"
GTPlayground,"GLMCompositePresentation subclass: #GTPlayground 	instanceVariableNames: '' 	classVariableNames: 'GTPlaygroundEnabledStatus PreferredExtent RememberPreferredExtent' 	poolDictionaries: '' 	category: 'GT-Playground'","GTPlayground class 	instanceVariableNames: ''"
DeleteVisitor,"FileSystemVisitor subclass: #DeleteVisitor 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Core-Implementation'","DeleteVisitor class 	instanceVariableNames: ''"
SettingsStonReader,"Object subclass: #SettingsStonReader 	instanceVariableNames: 'stream storedSettings' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Settings-Persistence-Ston-StoredSettings-Builder'","SettingsStonReader class 	instanceVariableNames: ''"
GLMMorphicDiffRenderer,"GLMMorphicWidgetRenderer subclass: #GLMMorphicDiffRenderer 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Morphic-Renderer'","GLMMorphicDiffRenderer class 	instanceVariableNames: ''"
ReReplaceNodeCritique,"ReAbstractCritique subclass: #ReReplaceNodeCritique 	instanceVariableNames: 'oldNode newNode' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Renraku-Critiques'","ReReplaceNodeCritique class 	instanceVariableNames: ''"
ManifestManifestCore,"PackageManifest subclass: #ManifestManifestCore 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Manifest-Core'","ManifestManifestCore class 	instanceVariableNames: ''"
LGitFreeSignatureCallback,"LGitCallback subclass: #LGitFreeSignatureCallback 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'LibGit-Core-FFI-Callbacks'","LGitFreeSignatureCallback class 	instanceVariableNames: ''"
MouseMoveEvent,"MouseEvent subclass: #MouseMoveEvent 	instanceVariableNames: 'startPoint trail' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Core-Events'","MouseMoveEvent class 	instanceVariableNames: ''"
IdentityBag,"Bag subclass: #IdentityBag 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Unordered'","IdentityBag class 	instanceVariableNames: ''"
ManifestCollectionsAbstract,"PackageManifest subclass: #ManifestCollectionsAbstract 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Abstract'","ManifestCollectionsAbstract class 	instanceVariableNames: ''"
ManifestColors,"PackageManifest subclass: #ManifestColors 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Colors'","ManifestColors class 	instanceVariableNames: ''"
VSCommitPatchVersion,"VSCommitVersion subclass: #VSCommitPatchVersion 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Versionner-Commit'","VSCommitPatchVersion class 	instanceVariableNames: ''"
LGit_GIT_EINVALIDSPEC,"LGitCallReturnHandler subclass: #LGit_GIT_EINVALIDSPEC 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'LibGit-Core-Exceptions-ReturnCodes'","LGit_GIT_EINVALIDSPEC class 	instanceVariableNames: ''"
FTVisibleItemsStrategy,"FTTreeFunctionStrategy subclass: #FTVisibleItemsStrategy 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets-FastTable-Tree'","FTVisibleItemsStrategy class 	instanceVariableNames: ''"
ByteTextConverterTest,"TestCase subclass: #ByteTextConverterTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Multilingual-Tests-TextConversion'","ByteTextConverterTest class 	instanceVariableNames: ''"
ResumeDebugAction,"DebugAction subclass: #ResumeDebugAction 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'DebuggerActions'","ResumeDebugAction class 	instanceVariableNames: ''"
RBAssignmentOnBlockArgumentRule,"RBBlockLintRule subclass: #RBAssignmentOnBlockArgumentRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-BlockRules'","RBAssignmentOnBlockArgumentRule class 	instanceVariableNames: ''"
ZnRequestWrittenEvent,"ZnClientLogEvent subclass: #ZnRequestWrittenEvent 	instanceVariableNames: 'request duration' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-HTTP-Logging'","ZnRequestWrittenEvent class 	instanceVariableNames: ''"
ZnUnknownHttpVersion,"ZnParseError subclass: #ZnUnknownHttpVersion 	instanceVariableNames: 'version' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-HTTP-Exceptions'","ZnUnknownHttpVersion class 	instanceVariableNames: ''"
Halt,"Exception subclass: #Halt 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Exceptions'","Halt class 	instanceVariableNames: ''"
IdentityDictionaryTest,"DictionaryTest subclass: #IdentityDictionaryTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Tests-Unordered'","IdentityDictionaryTest class 	instanceVariableNames: ''"
RGGlobalDefinitionTest,"TestCase subclass: #RGGlobalDefinitionTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Ring-Tests-Kernel'","RGGlobalDefinitionTest class 	instanceVariableNames: ''"
CollectionValueHolderTest,"TestCase subclass: #CollectionValueHolderTest 	instanceVariableNames: 'empty withItems fired' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NewValueHolder-Tests'","CollectionValueHolderTest class 	instanceVariableNames: ''"
TxTextPosition,"TxBasicTextPosition subclass: #TxTextPosition 	instanceVariableNames: 'span spanPosition' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'TxText-Model'","TxTextPosition class 	instanceVariableNames: ''"
LGitDiffProgressCallback,"LGitCallback subclass: #LGitDiffProgressCallback 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'LibGit-Core-FFI-Callbacks'","LGitDiffProgressCallback class 	instanceVariableNames: ''"
TextLineTest,"HashAndEqualsTestCase subclass: #TextLineTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Tests-Text Support'","TextLineTest class 	instanceVariableNames: ''"
MBConfigurationInfoTest,"MBInfoTest subclass: #MBConfigurationInfoTest 	instanceVariableNames: 'info browser' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Versionner-Tests-Core-Model'","MBConfigurationInfoTest class 	instanceVariableNames: ''"
SlotSilentTest,"SlotClassBuilderTest subclass: #SlotSilentTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Slot-Tests'","SlotSilentTest class 	instanceVariableNames: ''"
FLWeakObjectsTest,"FLSerializationTest subclass: #FLWeakObjectsTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FuelTests'","FLWeakObjectsTest class 	instanceVariableNames: ''"
TextMessageLink,"TextAttribute subclass: #TextMessageLink 	instanceVariableNames: 'message' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Network-Mail'","TextMessageLink class 	instanceVariableNames: ''"
DADependencyReport,"Object subclass: #DADependencyReport 	instanceVariableNames: 'dependencies warnings imageVersion analysisRunString' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tool-DependencyAnalyser-Report'","DADependencyReport class 	instanceVariableNames: ''"
GTSaveDebugAction,"GTCodeDebugAction subclass: #GTSaveDebugAction 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'GT-Debugger-Actions'","GTSaveDebugAction class 	instanceVariableNames: ''"
HaltOnCountIconStyler,"HaltIconStyler subclass: #HaltOnCountIconStyler 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Reflectivity-Tools-Breakpoints'","HaltOnCountIconStyler class 	instanceVariableNames: ''"
OSWindowCloseEvent,"OSWindowEvent subclass: #OSWindowCloseEvent 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OSWindow-Core-Events'","OSWindowCloseEvent class 	instanceVariableNames: ''"
GTFilterImplementor,"GTFilterSubstring subclass: #GTFilterImplementor 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'GT-SpotterExtensions-Core'","GTFilterImplementor class 	instanceVariableNames: ''"
GoferMetacelloLoad,"GoferLoad subclass: #GoferMetacelloLoad 	instanceVariableNames: 'version' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Gofer-Core'","GoferMetacelloLoad class 	instanceVariableNames: ''"
LGit_GIT_EEXISTS,"LGitCallReturnHandler subclass: #LGit_GIT_EEXISTS 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'LibGit-Core-Exceptions-ReturnCodes'","LGit_GIT_EEXISTS class 	instanceVariableNames: ''"
Margin,"Object subclass: #Margin 	instanceVariableNames: 'right bottom left top' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-BasicObjects'","Margin class 	instanceVariableNames: ''"
MCVersionDependency,"Object subclass: #MCVersionDependency 	instanceVariableNames: 'package versionInfo' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Versioning'","MCVersionDependency class 	instanceVariableNames: ''"
SimplifiedChineseEnvironment,"LanguageEnvironment subclass: #SimplifiedChineseEnvironment 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Multilingual-OtherLanguages'","SimplifiedChineseEnvironment class 	instanceVariableNames: ''"
DummyPackageSelectedPlugin,"AbstractPackageSelectedPlugin subclass: #DummyPackageSelectedPlugin 	instanceVariableNames: 'morph' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NautilusCommon-Plugin-Examples'","DummyPackageSelectedPlugin class 	instanceVariableNames: ''"
GLMCollapsableBrick,"GLMBrick subclass: #GLMCollapsableBrick 	instanceVariableNames: 'headerBrick contentBrick' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Morphic-Brick-Widgets-UI'","GLMCollapsableBrick class 	instanceVariableNames: ''"
RBUnclassifiedMethodsRule,"RBBlockLintRule subclass: #RBUnclassifiedMethodsRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-BlockRules'","RBUnclassifiedMethodsRule class 	instanceVariableNames: ''"
RBRenameTemporaryTest,"RBRefactoringTest subclass: #RBRenameTemporaryTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Tests-Core'","RBRenameTemporaryTest class 	instanceVariableNames: ''"
TxTerminalSpan,"TxBasicSpan subclass: #TxTerminalSpan 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'TxText-Model'","TxTerminalSpan class 	instanceVariableNames: ''"
NautilusSelectionAnnouncement,"Announcement subclass: #NautilusSelectionAnnouncement 	instanceVariableNames: 'package class protocol method' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NautilusCommon-Announcements'","NautilusSelectionAnnouncement class 	instanceVariableNames: ''"
Privacy,"Object subclass: #Privacy 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'GT-EventRecorder-Privacy'","Privacy class 	instanceVariableNames: 'sendDiagnosticsAndUsageData sendEntityNames sendSourceCode'"
RBSplitClassRefactoring,"RBRefactoring subclass: #RBSplitClassRefactoring 	instanceVariableNames: 'class instanceVariables newClassName referenceVariableName newClass' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Core-Refactorings'","RBSplitClassRefactoring class 	instanceVariableNames: ''"
LGitCompletionCallback,"LGitCallback subclass: #LGitCompletionCallback 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'LibGit-Core-FFI-Callbacks'","LGitCompletionCallback class 	instanceVariableNames: ''"
NameLookupFailure,"NetworkError subclass: #NameLookupFailure 	instanceVariableNames: 'hostName' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Network-Kernel'","NameLookupFailure class 	instanceVariableNames: ''"
PositionableStream,"Stream subclass: #PositionableStream 	instanceVariableNames: 'collection position readLimit' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Streams'","PositionableStream class 	instanceVariableNames: ''"
MorphLostFocus,"MorphAnnouncement subclass: #MorphLostFocus 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Core-Announcements'","MorphLostFocus class 	instanceVariableNames: ''"
AthensBalloonPaint,"AthensPaint subclass: #AthensBalloonPaint 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Athens-Balloon'","AthensBalloonPaint class 	instanceVariableNames: ''"
FLLargeIdentityDictionary,"FLLargeIdentityHashedCollection subclass: #FLLargeIdentityDictionary 	instanceVariableNames: 'keys values' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Fuel-Collections'","FLLargeIdentityDictionary class 	instanceVariableNames: ''"
IRSequence,"Object subclass: #IRSequence 	instanceVariableNames: 'sequence orderNumber method' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Core-IR-Nodes'","IRSequence class 	instanceVariableNames: ''"
LGitWriteBackValueSizeT,"LGitWriteBackValue subclass: #LGitWriteBackValueSizeT 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'LibGit-Core-FFI-Handling'","LGitWriteBackValueSizeT class 	instanceVariableNames: ''"
LargePositiveInteger,"LargeInteger variableByteSubclass: #LargePositiveInteger 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Numbers'","LargePositiveInteger class 	instanceVariableNames: ''"
SugsBreakAlwaysSuggestion,"SugsBreakpointSuggestion subclass: #SugsBreakAlwaysSuggestion 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SmartSuggestions-Suggestion'","SugsBreakAlwaysSuggestion class 	instanceVariableNames: ''"
HColorSelectorMorph,"BracketSliderMorph subclass: #HColorSelectorMorph 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets-ColorPicker'","HColorSelectorMorph class 	instanceVariableNames: ''"
ClassRemoved,"ClassAnnouncement subclass: #ClassRemoved 	instanceVariableNames: 'categoryName classRemoved ownerPackage' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Announcements-System-Classes'","ClassRemoved class 	instanceVariableNames: ''"
GLMMorphicPaneRenderer,"GLMMorphicWidgetRenderer subclass: #GLMMorphicPaneRenderer 	instanceVariableNames: 'container contentMorph' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Morphic-Renderer'","GLMMorphicPaneRenderer class 	instanceVariableNames: ''"
PointArrayTest,"TestCase subclass: #PointArrayTest 	instanceVariableNames: 'pointArray' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Balloon-Tests-Collections'","PointArrayTest class 	instanceVariableNames: ''"
POP3LoginError,"ProtocolClientError subclass: #POP3LoginError 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Network-Protocols'","POP3LoginError class 	instanceVariableNames: ''"
CodeChunk,"Object subclass: #CodeChunk 	instanceVariableNames: 'contents' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CodeImport'","CodeChunk class 	instanceVariableNames: ''"
TxOneLineTextLayoutTest,"TxTextLayoutTest subclass: #TxOneLineTextLayoutTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'TxText-AthensTests'","TxOneLineTextLayoutTest class 	instanceVariableNames: ''"
GLMWizardMorphicTest,"GLMMorphicTest subclass: #GLMWizardMorphicTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Tests-Morphic'","GLMWizardMorphicTest class 	instanceVariableNames: ''"
DAPackageAnalyzerCycleDetectionWindow,"DAPackageAnalyzerWindow subclass: #DAPackageAnalyzerCycleDetectionWindow 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tool-DependencyAnalyser-UI-Core'","DAPackageAnalyzerCycleDetectionWindow class 	instanceVariableNames: ''"
MetacelloGoferLoad,"GoferLoad subclass: #MetacelloGoferLoad 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-MC-Gofer'","MetacelloGoferLoad class 	instanceVariableNames: ''"
SpecWindowTest,"TestCase subclass: #SpecWindowTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Tests'","SpecWindowTest class 	instanceVariableNames: ''"
GLMTransmissionTest,"TestCase subclass: #GLMTransmissionTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Tests-Core'","GLMTransmissionTest class 	instanceVariableNames: ''"
LGitPatch,"LGitRepositoryObject subclass: #LGitPatch 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'LibGit-Core-NonCoreObjects'","LGitPatch class 	instanceVariableNames: ''"
SDL_CommonEvent,"SDL2MappedEvent subclass: #SDL_CommonEvent 	instanceVariableNames: '' 	classVariableNames: 'OFFSET_TIMESTAMP OFFSET_TYPE' 	poolDictionaries: '' 	category: 'OSWindow-SDL2-Bindings'","SDL_CommonEvent class 	instanceVariableNames: ''"
GLMHorizontalBandBrick,"GLMBrick subclass: #GLMHorizontalBandBrick 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Morphic-Brick-Widgets-Core'","GLMHorizontalBandBrick class 	instanceVariableNames: ''"
StandardFonts,"Object subclass: #StandardFonts 	instanceVariableNames: '' 	classVariableNames: 'ButtonFont CodeFont HaloFont ListFont MenuFont WindowTitleFont' 	poolDictionaries: 'TextConstants' 	category: 'Graphics-Fonts'","StandardFonts class 	instanceVariableNames: ''"
RBRefactoryTyper,"Object subclass: #RBRefactoryTyper 	instanceVariableNames: 'model class variableTypes bestGuesses variableMessages backpointers methodName selectorLookup' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Core-Support'","RBRefactoryTyper class 	instanceVariableNames: ''"
OSSDL2Driver,"OSWindowDriver subclass: #OSSDL2Driver 	instanceVariableNames: 'inputSemaphore eventQueue globalListeners' 	classVariableNames: 'EventLoopProcess JoystickMap WindowMap' 	poolDictionaries: 'SDL2Constants' 	category: 'OSWindow-SDL2'","OSSDL2Driver class 	instanceVariableNames: ''"
ReNodeMatchRule,"ReNodeBasedRule subclass: #ReNodeMatchRule 	instanceVariableNames: 'matchers' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Renraku-Rules-Rewrite'","ReNodeMatchRule class 	instanceVariableNames: ''"
HashTesterTest,"TestCase subclass: #HashTesterTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SUnit-Core-Utilities'","HashTesterTest class 	instanceVariableNames: ''"
OSWindow,"Object subclass: #OSWindow 	instanceVariableNames: 'handle initialAttributes eventHandler currentCursor' 	classVariableNames: 'TraceEvents VMWindow' 	poolDictionaries: '' 	category: 'OSWindow-Core'","OSWindow class 	instanceVariableNames: ''"
NumberTest,"ClassTestCase subclass: #NumberTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Tests-Numbers'","NumberTest class 	instanceVariableNames: ''"
GLMPortUpdater,"Object subclass: #GLMPortUpdater 	instanceVariableNames: 'portSymbol valueBlock' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Helpers'","GLMPortUpdater class 	instanceVariableNames: ''"
GTEventMultiBundleFactoryTest,"TestCase subclass: #GTEventMultiBundleFactoryTest 	instanceVariableNames: 'bundle1 bundle2 bundle3 bundle4 factory multiBundles multiBundle1 multiBundle2' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'GT-EventRecorder-Tests-Support'","GTEventMultiBundleFactoryTest class 	instanceVariableNames: ''"
StepIntoDebugAction,"DebugAction subclass: #StepIntoDebugAction 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'DebuggerActions'","StepIntoDebugAction class 	instanceVariableNames: ''"
MimeConverter,"Object subclass: #MimeConverter 	instanceVariableNames: 'dataStream mimeStream' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Network-MIME'","MimeConverter class 	instanceVariableNames: ''"
NECController,"Object subclass: #NECController 	instanceVariableNames: 'model menuMorph editor context inverseMapping completionDelay' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NECompletion-View'","NECController class 	instanceVariableNames: 'uniqueInstance'"
FTBasicTreeListDataSource,"FTDataSource subclass: #FTBasicTreeListDataSource 	instanceVariableNames: 'childrenBlock displayBlock sortingBlock availableRows rootItems' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets-FastTable-Tree-Basic'","FTBasicTreeListDataSource class 	instanceVariableNames: ''"
OmMemoryStore,"OmStore subclass: #OmMemoryStore 	instanceVariableNames: 'entries globalName' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Ombu-Stores'","OmMemoryStore class 	instanceVariableNames: ''"
IRFix,"IRVisitor subclass: #IRFix 	instanceVariableNames: 'prevInstr storePopToFix retToFix' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Core-IR-Manipulation'","IRFix class 	instanceVariableNames: ''"
GLMProfileSelection,"Announcement subclass: #GLMProfileSelection 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Presentations-Announcements'","GLMProfileSelection class 	instanceVariableNames: ''"
EyeMethodContextInspector,"EyeInspector subclass: #EyeMethodContextInspector 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Inspector'","EyeMethodContextInspector class 	instanceVariableNames: ''"
GLMMorphicWidgetRenderer,"Object subclass: #GLMMorphicWidgetRenderer 	instanceVariableNames: 'renderer' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Morphic-Renderer'","GLMMorphicWidgetRenderer class 	instanceVariableNames: ''"
FTDataSource,"Object subclass: #FTDataSource 	instanceVariableNames: 'table' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets-FastTable-DataSource'","FTDataSource class 	instanceVariableNames: ''"
GLMActionBrickThemer,"GLMBrickThemer subclass: #GLMActionBrickThemer 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Morphic-Brick-Theme'","GLMActionBrickThemer class 	instanceVariableNames: ''"
MetacelloCopyMemberSpec,"MetacelloMemberSpec subclass: #MetacelloCopyMemberSpec 	instanceVariableNames: 'sourceName' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Members'","MetacelloCopyMemberSpec class 	instanceVariableNames: ''"
IceLibgitFiletreeLog,"Object subclass: #IceLibgitFiletreeLog 	instanceVariableNames: 'repository' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Iceberg-Libgit-Filetree'","IceLibgitFiletreeLog class 	instanceVariableNames: ''"
MCFileRepositoryInspector,"MCVersionInspector subclass: #MCFileRepositoryInspector 	instanceVariableNames: 'repository versions loaded loadedPackages newer packageList selectedPackage selectedVersion order versionInfo packagePattern versionPattern packageListUpdateProcess versionProcess selectedPackageAncestors' 	classVariableNames: 'Order' 	poolDictionaries: '' 	category: 'MonticelloGUI'","MCFileRepositoryInspector class 	instanceVariableNames: 'packageSearchList versionSearchList'"
ThreePhaseButtonMorph,"ImageMorph subclass: #ThreePhaseButtonMorph 	instanceVariableNames: 'offImage pressedImage state target actionSelector arguments actWhen' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets-Basic-Buttons'","ThreePhaseButtonMorph class 	instanceVariableNames: ''"
DirectoryExists,"FileSystemError subclass: #DirectoryExists 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Core-Kernel'","DirectoryExists class 	instanceVariableNames: ''"
CriticsCache,"Object subclass: #CriticsCache 	instanceVariableNames: 'critics toDos falsePositives checker browser falsePositiveRules falsePositiveClasses packages change' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tool-CriticBrowser'","CriticsCache class 	instanceVariableNames: ''"
IceCreateBranchCommand,"IceRepositoryCommand subclass: #IceCreateBranchCommand 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Iceberg-UI-Model'","IceCreateBranchCommand class 	instanceVariableNames: ''"
IceBranchGroupModel,"IceAbstractBranchModel subclass: #IceBranchGroupModel 	instanceVariableNames: 'repository branches groupName' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Iceberg-UI-Utils'","IceBranchGroupModel class 	instanceVariableNames: ''"
Win32Platform,"WinPlatform subclass: #Win32Platform 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Platforms'","Win32Platform class 	instanceVariableNames: ''"
CharacterSetTest,"TestCase subclass: #CharacterSetTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Tests-Support'","CharacterSetTest class 	instanceVariableNames: ''"
WindowsDynamicLoader,"DynamicLoader subclass: #WindowsDynamicLoader 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'UnifiedFFI-Libraries'","WindowsDynamicLoader class 	instanceVariableNames: ''"
HMAC,"Object subclass: #HMAC 	instanceVariableNames: 'hash key ipad epad' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Hashing-Core'","HMAC class 	instanceVariableNames: ''"
Decompiler,"InstructionStream subclass: #Decompiler 	instanceVariableNames: 'constructor method instVars tempVars constTable stack statements lastPc exit caseExits lastJumpPc lastReturnPc limit hasValue blockStackBase numLocalTemps blockStartsToTempVars tempVarCount lastJumpIfPcStack' 	classVariableNames: 'ArgumentFlag CascadeFlag CaseFlag IfNilFlag' 	poolDictionaries: '' 	category: 'Compiler-Kernel'","Decompiler class 	instanceVariableNames: ''"
