Class Name,Instance Side Definition,Class Side Definition
PluggableTreeItemNode,"ListItemWrapper subclass: #PluggableTreeItemNode 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets-Pluggable'","PluggableTreeItemNode class 	instanceVariableNames: ''"
PackageTreeExample,"MorphTreeModel subclass: #PackageTreeExample 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Examples-MorphTreeWidget'","PackageTreeExample class 	instanceVariableNames: ''"
RBCommentChange,"RBRefactoryClassChange subclass: #RBCommentChange 	instanceVariableNames: 'comment' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Changes'","RBCommentChange class 	instanceVariableNames: ''"
SpecInterpreter,"Object subclass: #SpecInterpreter 	instanceVariableNames: 'model spec arrayToInterpret index' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Core'","SpecInterpreter class 	instanceVariableNames: 'bindings'"
AbstractPackageSelectedPlugin,"AbstractNautilusPlugin subclass: #AbstractPackageSelectedPlugin 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NautilusCommon-Plugin'","AbstractPackageSelectedPlugin class 	instanceVariableNames: ''"
BrowseDebugAction,"MessageSendDebugAction subclass: #BrowseDebugAction 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'DebuggerActions'","BrowseDebugAction class 	instanceVariableNames: ''"
ConfigurationOfCatalog,"Object subclass: #ConfigurationOfCatalog 	instanceVariableNames: 'project' 	classVariableNames: 'LastVersionLoad' 	poolDictionaries: '' 	category: 'ConfigurationOfCatalog'","ConfigurationOfCatalog class 	instanceVariableNames: ''"
AthensTextRenderTest,"Object subclass: #AthensTextRenderTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Athens-Text'","AthensTextRenderTest class 	instanceVariableNames: ''"
DAInheritanceDependency,"DADependencyFromClass subclass: #DAInheritanceDependency 	instanceVariableNames: 'superclass' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tool-DependencyAnalyser-Core'","DAInheritanceDependency class 	instanceVariableNames: ''"
MethodRecompileStrategy,"AbstractMethodUpdateStrategy subclass: #MethodRecompileStrategy 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Slot-ClassBuilder'","MethodRecompileStrategy class 	instanceVariableNames: ''"
KMAltModifier,"KMModifier subclass: #KMAltModifier 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Keymapping-KeyCombinations'","KMAltModifier class 	instanceVariableNames: ''"
DenyDialogWindow,"MessageDialogWindow subclass: #DenyDialogWindow 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets-Windows'","DenyDialogWindow class 	instanceVariableNames: ''"
GLMDropDownMorphicTest,"GLMMorphicTest subclass: #GLMDropDownMorphicTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Tests-Morphic'","GLMDropDownMorphicTest class 	instanceVariableNames: ''"
Key,"Object subclass: #Key 	instanceVariableNames: 'value name' 	classVariableNames: 'KeyTable MacosVirtualKeyTable UnixVirtualKeyTable WindowsVirtualKeyTable' 	poolDictionaries: '' 	category: 'System-Platforms'","Key class 	instanceVariableNames: ''"
StartupPreferencesLoadingError,"Error subclass: #StartupPreferencesLoadingError 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'StartupPreferences'","StartupPreferencesLoadingError class 	instanceVariableNames: ''"
GTSettingBrowserTest,"TestCase subclass: #GTSettingBrowserTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'GT-Tests-Spotter-SettingBrowser'","GTSettingBrowserTest class 	instanceVariableNames: ''"
OSTouchOneFingerHoldDetector,"OSTouchHoldDetector subclass: #OSTouchOneFingerHoldDetector 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OSWindow-Core-Gestures'","OSTouchOneFingerHoldDetector class 	instanceVariableNames: ''"
SortAlphabeticallyClassList,"Object subclass: #SortAlphabeticallyClassList 	instanceVariableNames: 'list' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Nautilus'","SortAlphabeticallyClassList class 	instanceVariableNames: ''"
SocketAddress,"ByteArray variableByteSubclass: #SocketAddress 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Network-Kernel'","SocketAddress class 	instanceVariableNames: ''"
MCServerRegistry,"Object subclass: #MCServerRegistry 	instanceVariableNames: 'registry' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'MonticelloRemoteRepositories'","MCServerRegistry class 	instanceVariableNames: 'uniqueInstance'"
DAMessageSendDependencyNode,"DAMessageSendNode subclass: #DAMessageSendDependencyNode 	instanceVariableNames: 'sentMessages' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tool-DependencyAnalyser-UI-Nodes'","DAMessageSendDependencyNode class 	instanceVariableNames: ''"
OmBlockFileStoreTest,"OmFileStoreTest subclass: #OmBlockFileStoreTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OmbuTests'","OmBlockFileStoreTest class 	instanceVariableNames: ''"
GLMBrickBounds,"Object subclass: #GLMBrickBounds 	instanceVariableNames: 'bounds innerBounds outerBounds widthState heightState margin padding' 	classVariableNames: 'Bottom Left Right Top' 	poolDictionaries: '' 	category: 'Glamour-Morphic-Brick-Utils'","GLMBrickBounds class 	instanceVariableNames: ''"
MethodWidgetTest,"TestCase subclass: #MethodWidgetTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Nautilus-Tests'","MethodWidgetTest class 	instanceVariableNames: ''"
AthensParagraph,"Object subclass: #AthensParagraph 	instanceVariableNames: 'text textStyle containerRect lines positionWhenComposed selectionStart selectionStop' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Athens-Morphic'","AthensParagraph class 	instanceVariableNames: ''"
UnlimitedInstanceVariableSlot,"Slot subclass: #UnlimitedInstanceVariableSlot 	instanceVariableNames: 'baseSlot offset baseSlotSize' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Slot-Examples'","UnlimitedInstanceVariableSlot class 	instanceVariableNames: ''"
MCSnapshotResource,"TestResource subclass: #MCSnapshotResource 	instanceVariableNames: 'snapshot' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Tests'","MCSnapshotResource class 	instanceVariableNames: ''"
FTPClient,"TelnetProtocolClient subclass: #FTPClient 	instanceVariableNames: 'dataSocket' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Network-Protocols'","FTPClient class 	instanceVariableNames: ''"
