Class Name,Instance Side Definition,Class Side Definition
SequenceableCollection,"Collection subclass: #SequenceableCollection 	uses: TSortable 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Abstract'","SequenceableCollection class 	uses: TSortable classTrait 	instanceVariableNames: ''"
PragmaUpdated,"PragmaAnnouncement subclass: #PragmaUpdated 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Pragmas'","PragmaUpdated class 	instanceVariableNames: ''"
UserOfFooSharedPool,"Object subclass: #UserOfFooSharedPool 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: 'FooSharedPool' 	category: 'Tests-System'","UserOfFooSharedPool class 	instanceVariableNames: ''"
PSMCChangeWrapper,"ListItemWrapper subclass: #PSMCChangeWrapper 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Tools-Diff'","PSMCChangeWrapper class 	instanceVariableNames: ''"
MetacelloProjectReferenceSpec,"MetacelloAbstractPackageSpec subclass: #MetacelloProjectReferenceSpec 	instanceVariableNames: 'projectReference' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Specs'","MetacelloProjectReferenceSpec class 	instanceVariableNames: ''"
RBBlockScope,"RBNodedScope subclass: #RBBlockScope 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Semantic-Scope'","RBBlockScope class 	instanceVariableNames: ''"
ZeroDivide,"ArithmeticError subclass: #ZeroDivide 	instanceVariableNames: 'dividend' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Numbers'","ZeroDivide class 	instanceVariableNames: ''"
MetacelloProjectSpecLoadConflict,"MetacelloProjectSpecLoadError subclass: #MetacelloProjectSpecLoadConflict 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Exceptions'","MetacelloProjectSpecLoadConflict class 	instanceVariableNames: ''"
HashTesterTest,"TestCase subclass: #HashTesterTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SUnit-Core-Utilities'","HashTesterTest class 	instanceVariableNames: ''"
ZnCurrentServerSession,"ProcessLocalVariable subclass: #ZnCurrentServerSession 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-HTTP-Variables'","ZnCurrentServerSession class 	instanceVariableNames: ''"
PluggableCanvas,"Canvas subclass: #PluggableCanvas 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Support'","PluggableCanvas class 	instanceVariableNames: ''"
RBProgramNodeVisitor,"Object subclass: #RBProgramNodeVisitor 	uses: TRBProgramNodeVisitor 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Core-Visitors'","RBProgramNodeVisitor class 	uses: TRBProgramNodeVisitor classTrait 	instanceVariableNames: ''"
Message,"Object subclass: #Message 	instanceVariableNames: 'selector args lookupClass' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Methods'","Message class 	instanceVariableNames: ''"
FLByteArrayStreamStrategy,"FLStreamStrategy subclass: #FLByteArrayStreamStrategy 	instanceVariableNames: 'inMemoryStream' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FuelTests-StreamStrategies'","FLByteArrayStreamStrategy class 	instanceVariableNames: ''"
RBContainsRule,"RBParseTreeLintRule subclass: #RBContainsRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-ParseTreeRules'","RBContainsRule class 	instanceVariableNames: ''"
RBOwnedScope,"RBLexicalScope subclass: #RBOwnedScope 	instanceVariableNames: 'owner' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Semantic-Scope'","RBOwnedScope class 	instanceVariableNames: ''"
ColorApiSetter,"AbstractApiSetter subclass: #ColorApiSetter 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Tools-Editor'","ColorApiSetter class 	instanceVariableNames: ''"
OSPlatformTest,"TestCase subclass: #OSPlatformTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-System'","OSPlatformTest class 	instanceVariableNames: ''"
DelayWaitTimeout,"Delay subclass: #DelayWaitTimeout 	instanceVariableNames: 'process expired' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Processes'","DelayWaitTimeout class 	instanceVariableNames: ''"
RBMissingYourselfRule,"RBParseTreeLintRule subclass: #RBMissingYourselfRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-ParseTreeRules'","RBMissingYourselfRule class 	instanceVariableNames: ''"
SystemHelp,"Object subclass: #SystemHelp 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'HelpSystem-Core-Utilities'","SystemHelp class 	instanceVariableNames: ''"
SelectRuleBrowser,"SelectBrowser subclass: #SelectRuleBrowser 	instanceVariableNames: 'selectRule environment removeTestCase' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Manifest-CriticBrowser'","SelectRuleBrowser class 	instanceVariableNames: ''"
RPackageObsoleteTest,"RPackageIncrementalTest subclass: #RPackageObsoleteTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'RPackage-Tests'","RPackageObsoleteTest class 	instanceVariableNames: ''"
RangeSettingDeclaration,"SettingDeclaration subclass: #RangeSettingDeclaration 	instanceVariableNames: 'range' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Settings-Core'","RangeSettingDeclaration class 	instanceVariableNames: ''"
NBFFICallout,"NBNativeCodeGen subclass: #NBFFICallout 	instanceVariableNames: 'fnSpec requestor methodArgs coercionMayFail callInfo' 	classVariableNames: 'CustomErrorCodes CustomErrorMessages TypeAliases' 	poolDictionaries: '' 	category: 'NativeBoost-Core-FFI'","NBFFICallout class 	instanceVariableNames: ''"
RBPrecedenceRule,"RBParseTreeLintRule subclass: #RBPrecedenceRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-ParseTreeRules'","RBPrecedenceRule class 	instanceVariableNames: ''"
RxParser,"Object subclass: #RxParser 	instanceVariableNames: 'input lookahead' 	classVariableNames: 'BackslashConstants BackslashSpecials' 	poolDictionaries: '' 	category: 'Regex-Core'","RxParser class 	instanceVariableNames: ''"
BrowserCommentTextMorph,"PluggableTextMorph subclass: #BrowserCommentTextMorph 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tools-Browser'","BrowserCommentTextMorph class 	instanceVariableNames: ''"
SystemSettingLauncher,"PragmaSetting subclass: #SystemSettingLauncher 	instanceVariableNames: 'script' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Settings-Core'","SystemSettingLauncher class 	instanceVariableNames: ''"
ShortPointArray,"ShortIntegerArray variableWordSubclass: #ShortPointArray 	uses: TPointAccess 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Balloon-Collections'","ShortPointArray class 	uses: TPointAccess classTrait 	instanceVariableNames: ''"
NonInteractiveUIManager,"CommandLineUIManager subclass: #NonInteractiveUIManager 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'UIManager'","NonInteractiveUIManager class 	instanceVariableNames: ''"
MetacelloToolBox,"Object subclass: #MetacelloToolBox 	instanceVariableNames: 'project methodSpec' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-ToolBox'","MetacelloToolBox class 	instanceVariableNames: ''"
InMidstOfFileinNotification,"Notification subclass: #InMidstOfFileinNotification 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Exceptions'","InMidstOfFileinNotification class 	instanceVariableNames: ''"
Workspace,"Object subclass: #Workspace 	instanceVariableNames: 'bindings acceptDroppedMorphs acceptAction mustDeclareVariables fileName lineEnding encoding stylingActive contents' 	classVariableNames: 'LastContents' 	poolDictionaries: '' 	category: 'Tools-Base'","Workspace class 	instanceVariableNames: ''"
ProgressInitiationException,"Exception subclass: #ProgressInitiationException 	instanceVariableNames: 'workBlock maxVal minVal aPoint progressTitle' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Deprecated20'","ProgressInitiationException class 	instanceVariableNames: ''"
KMShortcutDeclaration,"SettingDeclaration subclass: #KMShortcutDeclaration 	instanceVariableNames: 'categoryName declaration shortcutName' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Keymapping-Settings'","KMShortcutDeclaration class 	instanceVariableNames: ''"
NECPreferences,"Object subclass: #NECPreferences 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NECompletion-Pharo'","NECPreferences class 	instanceVariableNames: 'enabled caseSensitive smartCharacters smartCharactersMapping backgroundColor expandPrefixes captureNavigationKeys useEnterToAccept popupShowAutomatic popupAutomaticDelay popupShowWithShortcut spaceAfterCompletion smartCharactersWithSingleSpace smartCharactersWithDoubleSpace'"
RBRenameInstanceVariableRefactoring,"RBVariableRefactoring subclass: #RBRenameInstanceVariableRefactoring 	instanceVariableNames: 'newName' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Core-Refactorings'","RBRenameInstanceVariableRefactoring class 	instanceVariableNames: ''"
StopwatchTest,"ClassTestCase subclass: #StopwatchTest 	instanceVariableNames: 'aStopwatch aDelay' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Chronology'","StopwatchTest class 	instanceVariableNames: ''"
WriteStream,"PositionableStream subclass: #WriteStream 	instanceVariableNames: 'writeLimit' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Streams'","WriteStream class 	instanceVariableNames: ''"
AJData,"AJInstruction subclass: #AJData 	instanceVariableNames: 'data alignment' 	classVariableNames: '' 	poolDictionaries: 'AJConstants' 	category: 'AsmJit-Instructions'","AJData class 	instanceVariableNames: ''"
IconicButton,"SimpleButtonMorph subclass: #IconicButton 	instanceVariableNames: 'graphicalMorph' 	classVariableNames: 'DefaultGraphics' 	poolDictionaries: '' 	category: 'Morphic-Widgets'","IconicButton class 	instanceVariableNames: ''"
RBRemoveClassVariableTest,"RBRefactoringTest subclass: #RBRemoveClassVariableTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Tests-Core'","RBRemoveClassVariableTest class 	instanceVariableNames: ''"
ShadowDrawingCanvas,"ColorMappingCanvas subclass: #ShadowDrawingCanvas 	instanceVariableNames: 'shadowColor' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Support'","ShadowDrawingCanvas class 	instanceVariableNames: ''"
SettingBrowser,"MorphTreeModel subclass: #SettingBrowser 	instanceVariableNames: 'viewedPackages roots status searchedText treeHolder' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Settings-Browser'","SettingBrowser class 	instanceVariableNames: 'searchedTextList regexpSearch'"
MethodWidget,"AbstractMethodWidget subclass: #MethodWidget 	instanceVariableNames: 'methodsList methodsSelection methods' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Nautilus-Widgets'","MethodWidget class 	instanceVariableNames: ''"
AJImmediate,"AJOperand subclass: #AJImmediate 	instanceVariableNames: 'label size isUnsigned relocMode value' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AsmJit-Operands'","AJImmediate class 	instanceVariableNames: ''"
RBRemoveMethodTest,"RBRefactoringTest subclass: #RBRemoveMethodTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Tests-Core'","RBRemoveMethodTest class 	instanceVariableNames: ''"
MetacelloVersionDoesNotExistError,"Error subclass: #MetacelloVersionDoesNotExistError 	instanceVariableNames: 'project versionString' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Exceptions'","MetacelloVersionDoesNotExistError class 	instanceVariableNames: ''"
MCFileBasedRepository,"MCRepository subclass: #MCFileBasedRepository 	instanceVariableNames: 'cache allFileNames cacheFileNames' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Repositories'","MCFileBasedRepository class 	instanceVariableNames: ''"
TextEmphasis,"TextAttribute subclass: #TextEmphasis 	instanceVariableNames: 'emphasisCode setMode' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Text-Core'","TextEmphasis class 	instanceVariableNames: ''"
DisplaySettings,"Object subclass: #DisplaySettings 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Settings-Display'","DisplaySettings class 	instanceVariableNames: ''"
NBExternalObject,"Object subclass: #NBExternalObject 	instanceVariableNames: 'handle' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NativeBoost-Core-Objects'","NBExternalObject class 	instanceVariableNames: ''"
GoferOperationTest,"GoferTest subclass: #GoferOperationTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Gofer-Tests'","GoferOperationTest class 	instanceVariableNames: ''"
FileReference,"AbstractFileReference subclass: #FileReference 	instanceVariableNames: 'filesystem path' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Core-Public'","FileReference class 	instanceVariableNames: ''"
ValueNotFound,"NotFound subclass: #ValueNotFound 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Unordered'","ValueNotFound class 	instanceVariableNames: ''"
DummySystemProgressItem,"Object subclass: #DummySystemProgressItem 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'UIManager-Support'","DummySystemProgressItem class 	instanceVariableNames: ''"
HelpBrowserTest,"TestCase subclass: #HelpBrowserTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'HelpSystem-Tests-Core-UI'","HelpBrowserTest class 	instanceVariableNames: ''"
Deprecation,"Warning subclass: #Deprecation 	instanceVariableNames: 'methodReference explanationString deprecationDate versionString' 	classVariableNames: 'Log RaiseWarning ShowWarning' 	poolDictionaries: '' 	category: 'Kernel-Exceptions'","Deprecation class 	instanceVariableNames: ''"
FileWriteError,"FileStreamException subclass: #FileWriteError 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Files-Kernel'","FileWriteError class 	instanceVariableNames: ''"
RBThisContextNode,"RBVariableNode subclass: #RBThisContextNode 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Core-Nodes'","RBThisContextNode class 	instanceVariableNames: ''"
ColorEditor,"ComposableModel subclass: #ColorEditor 	instanceVariableNames: 'a b color g morph r' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Tools-Editor'","ColorEditor class 	instanceVariableNames: ''"
RBEqualNotUsedRule,"RBParseTreeLintRule subclass: #RBEqualNotUsedRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-ParseTreeRules'","RBEqualNotUsedRule class 	instanceVariableNames: ''"
BreadthFirstGuide,"FileSystemGuide subclass: #BreadthFirstGuide 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Core-Implementation'","BreadthFirstGuide class 	instanceVariableNames: ''"
KonamiCodePlugin,"AbstractKeyPressedPlugin subclass: #KonamiCodePlugin 	instanceVariableNames: 'lastKeystrokeTime lastKeystrokes code' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NautilusCommon-Plugin'","KonamiCodePlugin class 	instanceVariableNames: ''"
RBClassVariableNamesSpellingRule,"RBSpellingRule subclass: #RBClassVariableNamesSpellingRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Spelling'","RBClassVariableNamesSpellingRule class 	instanceVariableNames: ''"
SettingTree,"Object subclass: #SettingTree 	instanceVariableNames: 'collector nodeList' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Settings-Browser'","SettingTree class 	instanceVariableNames: ''"
MCSaveVersionDialog,"MCTool subclass: #MCSaveVersionDialog 	instanceVariableNames: 'name message' 	classVariableNames: 'PreviousMessages' 	poolDictionaries: '' 	category: 'MonticelloGUI'","MCSaveVersionDialog class 	instanceVariableNames: ''"
ExpanderTitleMorph,"PanelMorph subclass: #ExpanderTitleMorph 	instanceVariableNames: 'labelMorph buttonMorph expanded' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","ExpanderTitleMorph class 	instanceVariableNames: ''"
CRCError,"Error subclass: #CRCError 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Compression-Streams'","CRCError class 	instanceVariableNames: ''"
TickSelectionListNode,"MorphTreeNodeModel subclass: #TickSelectionListNode 	instanceVariableNames: 'selected' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","TickSelectionListNode class 	instanceVariableNames: ''"
RBEqualNilRule,"RBTransformationRule subclass: #RBEqualNilRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-TransformationRules'","RBEqualNilRule class 	instanceVariableNames: ''"
MCMergingTest,"MCTestCase subclass: #MCMergingTest 	instanceVariableNames: 'conflictBlock conflicts' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-Monticello'","MCMergingTest class 	instanceVariableNames: ''"
RBRemoveMethodChange,"RBRefactoryClassChange subclass: #RBRemoveMethodChange 	instanceVariableNames: 'selector' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Changes'","RBRemoveMethodChange class 	instanceVariableNames: ''"
ZnResourceMetaUtilsTests,"TestCase subclass: #ZnResourceMetaUtilsTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Resource-Meta-Tests'","ZnResourceMetaUtilsTests class 	instanceVariableNames: ''"
FLOptimizedObjectCluster,"FLIteratingCluster subclass: #FLOptimizedObjectCluster 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Fuel-Clusters-Optionals'","FLOptimizedObjectCluster class 	instanceVariableNames: ''"
Unicode,"EncodedCharSet subclass: #Unicode 	instanceVariableNames: '' 	classVariableNames: 'Cc Cf Cn Co Cs DecimalProperty GeneralCategory Ll Lm Lo Lt Lu Mc Me Mn Nd Nl No Pc Pd Pe Pf Pi Po Ps Sc Sk Sm So ToCasefold ToLower ToUpper Zl Zp Zs' 	poolDictionaries: '' 	category: 'Multilingual-Encodings'","Unicode class 	instanceVariableNames: ''"
FLNegative16SmallIntegerCluster,"FLSmallIntegerCluster subclass: #FLNegative16SmallIntegerCluster 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Fuel-Clusters'","FLNegative16SmallIntegerCluster class 	instanceVariableNames: ''"
SetInspector,"Inspector subclass: #SetInspector 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tools-Inspector'","SetInspector class 	instanceVariableNames: ''"
UpdatingMenuMorph,"MenuMorph subclass: #UpdatingMenuMorph 	instanceVariableNames: 'updater updateSelector' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Menus'","UpdatingMenuMorph class 	instanceVariableNames: ''"
MetacelloValidationWarning,"MetacelloValidationIssue subclass: #MetacelloValidationWarning 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Validation'","MetacelloValidationWarning class 	instanceVariableNames: ''"
MorphicAlarm,"MessageSend subclass: #MorphicAlarm 	instanceVariableNames: 'scheduledTime numArgs' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Events'","MorphicAlarm class 	instanceVariableNames: ''"
FLPositive24SmallIntegerCluster,"FLSmallIntegerCluster subclass: #FLPositive24SmallIntegerCluster 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Fuel-Clusters'","FLPositive24SmallIntegerCluster class 	instanceVariableNames: ''"
FillStyleBorder,"SimpleBorder subclass: #FillStyleBorder 	instanceVariableNames: 'fillStyle' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Borders'","FillStyleBorder class 	instanceVariableNames: ''"
NativeBoost,"Object subclass: #NativeBoost 	instanceVariableNames: 'bootstrapping insideCallback callbackCounterAddr extraRootsRegistry rootsCell gateFunction' 	classVariableNames: 'Current NBAnnouncer' 	poolDictionaries: 'AJx86Registers NativeBoostConstants' 	category: 'NativeBoost-Core'","NativeBoost class 	instanceVariableNames: ''"
RBVariableNode,"RBValueNode subclass: #RBVariableNode 	instanceVariableNames: 'token' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Core-Nodes'","RBVariableNode class 	instanceVariableNames: ''"
CompositionScanner,"CharacterScanner subclass: #CompositionScanner 	instanceVariableNames: 'spaceX spaceIndex lineHeight baseline lineHeightAtSpace baselineAtSpace' 	classVariableNames: '' 	poolDictionaries: 'TextConstants' 	category: 'Text-Scanning'","CompositionScanner class 	instanceVariableNames: ''"
RBAbstractClassVariableRefactoring,"RBVariableRefactoring subclass: #RBAbstractClassVariableRefactoring 	instanceVariableNames: 'accessorsRefactoring' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Core-Refactorings'","RBAbstractClassVariableRefactoring class 	instanceVariableNames: ''"
RBLiteralArrayContainsCommaRule,"RBBlockLintRule subclass: #RBLiteralArrayContainsCommaRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-BlockRules'","RBLiteralArrayContainsCommaRule class 	instanceVariableNames: ''"
PointerExplorer,"ObjectExplorer subclass: #PointerExplorer 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tools-Explorer'","PointerExplorer class 	instanceVariableNames: ''"
KMKeymap,"Object subclass: #KMKeymap 	instanceVariableNames: 'action name shortcut defaultShortcut description' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Keymapping-Core'","KMKeymap class 	instanceVariableNames: ''"
MorphEventSubscription,"Object subclass: #MorphEventSubscription 	instanceVariableNames: 'event selector recipient valueParameter' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Events'","MorphEventSubscription class 	instanceVariableNames: ''"
PragmaMenuAndShortcutRegistrationItem,"Object subclass: #PragmaMenuAndShortcutRegistrationItem 	instanceVariableNames: 'item action parent order enabledBlock label help icon selector arguments withSeparatorAfter target enabled group with precondition shortcut platform default category shortcutName keyText' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'MenuRegistration-Core'","PragmaMenuAndShortcutRegistrationItem class 	instanceVariableNames: ''"
ZnBase64EncoderTests,"TestCase subclass: #ZnBase64EncoderTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Character-Encoding-Tests'","ZnBase64EncoderTests class 	instanceVariableNames: ''"
MetacelloConfigurationBrowser,"ComposableModel subclass: #MetacelloConfigurationBrowser 	instanceVariableNames: 'configBrowserModel toolbarModel configurationPattern' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tools-ConfigurationBrowser'","MetacelloConfigurationBrowser class 	instanceVariableNames: 'configurationSearchList'"
ZipConstants,"SharedPool subclass: #ZipConstants 	instanceVariableNames: '' 	classVariableNames: 'BaseDistance BaseLength BitLengthOrder DistanceCodes DynamicBlock EndBlock ExtraBitLengthBits ExtraDistanceBits ExtraLengthBits FixedBlock FixedDistanceTree FixedLiteralTree HashBits HashMask HashShift MatchLengthCodes MaxBitLengthBits MaxBitLengthCodes MaxBits MaxDistCodes MaxDistance MaxLengthCodes MaxLiteralCodes MaxMatch MinMatch NumLiterals Repeat11To138 Repeat3To10 Repeat3To6 StoredBlock WindowMask WindowSize' 	poolDictionaries: '' 	category: 'Compression-Streams'","ZipConstants class 	instanceVariableNames: ''"
FreeTypeSystemSettings,"Object subclass: #FreeTypeSystemSettings 	instanceVariableNames: '' 	classVariableNames: 'LoadFT2Library' 	poolDictionaries: '' 	category: 'Settings-FreeType'","FreeTypeSystemSettings class 	instanceVariableNames: ''"
IndentingListItemMorph,"StringMorph subclass: #IndentingListItemMorph 	instanceVariableNames: 'indentLevel isExpanded complexContents firstChild container nextSibling icon' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tools-Explorer'","IndentingListItemMorph class 	instanceVariableNames: ''"
HaloSpec,"Object subclass: #HaloSpec 	instanceVariableNames: 'addHandleSelector horizontalPlacement verticalPlacement color iconSymbol' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets'","HaloSpec class 	instanceVariableNames: ''"
NautilusAnnouncer,"SystemAnnouncer subclass: #NautilusAnnouncer 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NautilusCommon-Announcements'","NautilusAnnouncer class 	instanceVariableNames: ''"
MouseWheelEvent,"MouseEvent subclass: #MouseWheelEvent 	instanceVariableNames: 'direction' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Events'","MouseWheelEvent class 	instanceVariableNames: ''"
NBBasicExamples,"Object subclass: #NBBasicExamples 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: 'AJx86Registers' 	category: 'NativeBoost-Examples'","NBBasicExamples class 	instanceVariableNames: ''"
ScriptLoader,"Loader subclass: #ScriptLoader 	instanceVariableNames: 'repository inboxRepository repository39 repositorySqueakTrunk repository310 repositoryTaskForces repositoryMC repositoryTreated' 	classVariableNames: 'CheckImageInSyncWithUpdate CurrentMajorVersionNumber CurrentScriptVersionNumber CurrentUpdateVersionNumber CurrentlyIntegratingChanges LogStream Repository' 	poolDictionaries: 'TextConstants' 	category: 'ScriptLoader20'","ScriptLoader class 	instanceVariableNames: ''"
MCClassTraitParser,"MCDoItParser subclass: #MCClassTraitParser 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Chunk Format'","MCClassTraitParser class 	instanceVariableNames: ''"
MetacelloCleanLoadAndTestsNotification,"MetacelloCleanNotification subclass: #MetacelloCleanLoadAndTestsNotification 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Exceptions'","MetacelloCleanLoadAndTestsNotification class 	instanceVariableNames: ''"
RBSuperBinding,"RBSpecialBinding subclass: #RBSuperBinding 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Semantic-Binding'","RBSuperBinding class 	instanceVariableNames: ''"
Boolean,"Object subclass: #Boolean 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Objects'","Boolean class 	instanceVariableNames: ''"
SimplestClassListWithPagerExample,"SimplestPaginatedClassListExample subclass: #SimplestClassListWithPagerExample 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-MorphTreeWidget-Examples'","SimplestClassListWithPagerExample class 	instanceVariableNames: ''"
X11Encoding,"Object subclass: #X11Encoding 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Multilingual-Encodings'","X11Encoding class 	instanceVariableNames: ''"
FloatingPointException,"ArithmeticError subclass: #FloatingPointException 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Exceptions'","FloatingPointException class 	instanceVariableNames: ''"
MCVersionInspector,"MCTool subclass: #MCVersionInspector 	instanceVariableNames: 'version' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'MonticelloGUI'","MCVersionInspector class 	instanceVariableNames: ''"
