Class Name,Instance Side Definition,Class Side Definition
RBAbstractClassVariableTest,"RBRefactoringTest subclass: #RBAbstractClassVariableTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Tests-Core'","RBAbstractClassVariableTest class 	instanceVariableNames: ''"
MCPoolImportDefinition,"MCVariableDefinition subclass: #MCPoolImportDefinition 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Modeling'","MCPoolImportDefinition class 	instanceVariableNames: ''"
KeyNotFound,"NotFound subclass: #KeyNotFound 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Unordered'","KeyNotFound class 	instanceVariableNames: ''"
NBWin32Heap,"NBWin32Handle subclass: #NBWin32Heap 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NativeBoost-Win32'","NBWin32Heap class 	instanceVariableNames: ''"
RBRemoveParameterTest,"RBRefactoringTest subclass: #RBRemoveParameterTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Tests-Core'","RBRemoveParameterTest class 	instanceVariableNames: ''"
NautilusBooleanAnnouncement,"Announcement subclass: #NautilusBooleanAnnouncement 	instanceVariableNames: 'boolean' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NautilusCommon-Announcements'","NautilusBooleanAnnouncement class 	instanceVariableNames: ''"
RGTraitDefinition,"RGTraitDescriptionDefinition subclass: #RGTraitDefinition 	instanceVariableNames: 'metaClass comment category package' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Ring-Core-Kernel'","RGTraitDefinition class 	instanceVariableNames: ''"
MCMethodDefinition,"MCDefinition subclass: #MCMethodDefinition 	instanceVariableNames: 'classIsMeta source category selector className timeStamp' 	classVariableNames: 'Definitions InitializersEnabled' 	poolDictionaries: '' 	category: 'Monticello-Modeling'","MCMethodDefinition class 	instanceVariableNames: ''"
NBInt32,"NBUInt32 subclass: #NBInt32 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NativeBoost-Core-Types'","NBInt32 class 	instanceVariableNames: ''"
AGroupHasBeenAdded,"AbstractGroupAnnouncement subclass: #AGroupHasBeenAdded 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'GroupManager-Announcements'","AGroupHasBeenAdded class 	instanceVariableNames: ''"
Text,"ArrayedCollection subclass: #Text 	instanceVariableNames: 'string runs' 	classVariableNames: '' 	poolDictionaries: 'TextConstants' 	category: 'Text-Core'","Text class 	instanceVariableNames: ''"
SVColorSelectorMorph,"Morph subclass: #SVColorSelectorMorph 	instanceVariableNames: 'selectedColor locationMorph' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","SVColorSelectorMorph class 	instanceVariableNames: ''"
RBBrowserEnvironmentWrapper,"RBBrowserEnvironment subclass: #RBBrowserEnvironmentWrapper 	instanceVariableNames: 'environment' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Environment'","RBBrowserEnvironmentWrapper class 	instanceVariableNames: ''"
TextAndTextStreamTest,"TestCase subclass: #TextAndTextStreamTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'TextTests'","TextAndTextStreamTest class 	instanceVariableNames: ''"
