Class Name,Instance Side Definition,Class Side Definition
TextURL,"TextAction subclass: #TextURL 	instanceVariableNames: 'url' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Text'","TextURL class 	instanceVariableNames: ''"
RBRenameInstanceVariableChange,"RBRenameVariableChange subclass: #RBRenameInstanceVariableChange 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Changes'","RBRenameInstanceVariableChange class 	instanceVariableNames: ''"
MemoryFileSystemTest,"FileSystemTest subclass: #MemoryFileSystemTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Tests-Memory'","MemoryFileSystemTest class 	instanceVariableNames: ''"
TextEmphasisTest,"HashAndEqualsTestCase subclass: #TextEmphasisTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CollectionsTests-Text'","TextEmphasisTest class 	instanceVariableNames: ''"
RBRefactoryChange,"Object subclass: #RBRefactoryChange 	instanceVariableNames: 'name' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Changes'","RBRefactoryChange class 	instanceVariableNames: ''"
FillStyleBorder,"SimpleBorder subclass: #FillStyleBorder 	instanceVariableNames: 'fillStyle' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Borders'","FillStyleBorder class 	instanceVariableNames: ''"
OBNode,"Object subclass: #OBNode 	instanceVariableNames: 'metaNode' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OmniBrowser-Kernel'","OBNode class 	instanceVariableNames: ''"
ORCmdProtocolEnvironment,"ORCmdEnvironment subclass: #ORCmdProtocolEnvironment 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OB-Refactory-Commands'","ORCmdProtocolEnvironment class 	instanceVariableNames: ''"
KMChainedShortcut,"KMShortcut subclass: #KMChainedShortcut 	instanceVariableNames: 'shortcuts' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Keymapping-Shortcuts'","KMChainedShortcut class 	instanceVariableNames: ''"
FALSE,"Boolean subclass: #False 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Objects'","False class 	instanceVariableNames: ''"
ZnUserAgentTests,"TestCase subclass: #ZnUserAgentTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Tests'","ZnUserAgentTests class 	instanceVariableNames: ''"
GoferConstraintReference,"GoferPackageReference subclass: #GoferConstraintReference 	instanceVariableNames: 'constraintBlock' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Gofer-Core'","GoferConstraintReference class 	instanceVariableNames: ''"
TextEditor,"Editor subclass: #TextEditor 	instanceVariableNames: 'model editingState' 	classVariableNames: 'CaseSensitiveFinds UseFindReplaceSelection UseSecondarySelection UseSelectionBar WalkAlongDisplayedLine' 	poolDictionaries: '' 	category: 'System-Text'","TextEditor class 	instanceVariableNames: 'cmdActions shiftCmdActions'"
ParserNotification,"Notification subclass: #ParserNotification 	instanceVariableNames: 'name' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Compiler-Exceptions'","ParserNotification class 	instanceVariableNames: ''"
OBCmdRenameCategory,"OBCategoryCommand subclass: #OBCmdRenameCategory 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OB-Standard-Commands'","OBCmdRenameCategory class 	instanceVariableNames: ''"
ShortRunArray,"ArrayedCollection variableWordSubclass: #ShortRunArray 	instanceVariableNames: '' 	classVariableNames: 'LastSaveOrder' 	poolDictionaries: '' 	category: 'Balloon-Collections'","ShortRunArray class 	instanceVariableNames: ''"
ZipArchiveTest,"TestCase subclass: #ZipArchiveTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CompressionTests-Archive'","ZipArchiveTest class 	instanceVariableNames: ''"
RBAddInstanceVariableRefactoring,"RBVariableRefactoring subclass: #RBAddInstanceVariableRefactoring 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Core-Refactorings'","RBAddInstanceVariableRefactoring class 	instanceVariableNames: ''"
TextColor,"TextAttribute subclass: #TextColor 	instanceVariableNames: 'color' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Text'","TextColor class 	instanceVariableNames: ''"
DiskStore,"FileSystemStore subclass: #DiskStore 	instanceVariableNames: '' 	classVariableNames: 'CurrentFS Primitives' 	poolDictionaries: '' 	category: 'FileSystem-Disk'","DiskStore class 	instanceVariableNames: ''"
BagTest,"CollectionRootTest subclass: #BagTest 	uses: TAddTest + TIncludesWithIdentityCheckTest + TCloneTest + TCopyTest + TSetArithmetic + TConvertTest + TAsStringCommaAndDelimiterTest + TRemoveForMultiplenessTest + TPrintTest + TConvertAsSortedTest + TConvertAsSetForMultiplinessTest + TConcatenationTest + TStructuralEqualityTest + TCreationWithTest - {#testOfSize} + TOccurrencesForMultiplinessTest 	instanceVariableNames: 'empty nonEmpty collectResult emptyButAllocatedWith20 elementExistsTwice element collectionWithElement collectionIn collectionNotIn collectionOfString elementNotIn collectionWithCharacters otherCollectionWithoutEqualElements collectionWithoutNilMoreThan5' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CollectionsTests-Unordered'","BagTest class 	uses: TAddTest classTrait + TCloneTest classTrait + TCopyTest classTrait + TSetArithmetic classTrait + TConvertTest classTrait + TAsStringCommaAndDelimiterTest classTrait + TRemoveForMultiplenessTest classTrait + TPrintTest classTrait + TConvertAsSortedTest classTrait + TIncludesWithIdentityCheckTest classTrait + TConvertAsSetForMultiplinessTest classTrait + TConcatenationTest classTrait + TStructuralEqualityTest classTrait + TCreationWithTest classTrait + TOccurrencesForMultiplinessTest classTrait 	instanceVariableNames: ''"
W2KComplexTabBorder,"ComplexBorder subclass: #W2KComplexTabBorder 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","W2KComplexTabBorder class 	instanceVariableNames: ''"
NECModel,"Object subclass: #NECModel 	instanceVariableNames: 'clazz selectors narrowString entries' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NECompletion-Model'","NECModel class 	instanceVariableNames: ''"
WeakArray,"Array weakSubclass: #WeakArray 	instanceVariableNames: '' 	classVariableNames: 'FinalizationDependents FinalizationLock FinalizationProcess FinalizationSemaphore' 	poolDictionaries: '' 	category: 'Collections-Weak'","WeakArray class 	instanceVariableNames: ''"
CodeSimulationTests,"TestCase subclass: #CodeSimulationTests 	instanceVariableNames: '' 	classVariableNames: 'log' 	poolDictionaries: '' 	category: 'KernelTests-Methods'","CodeSimulationTests class 	instanceVariableNames: ''"
TaskbarTask,"Object subclass: #TaskbarTask 	instanceVariableNames: 'morph state label icon' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","TaskbarTask class 	instanceVariableNames: ''"
MorphTreeAnnounce,"Announcement subclass: #MorphTreeAnnounce 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-MorphTreeWidget'","MorphTreeAnnounce class 	instanceVariableNames: ''"
MetacelloCleanLoadAndTestsNotification,"MetacelloCleanNotification subclass: #MetacelloCleanLoadAndTestsNotification 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Exceptions'","MetacelloCleanLoadAndTestsNotification class 	instanceVariableNames: ''"
WindowMoved,"WindowAnnouncement subclass: #WindowMoved 	instanceVariableNames: 'oldPosition newPosition' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-WindowNotification'","WindowMoved class 	instanceVariableNames: ''"
MIMEDocument,"Object subclass: #MIMEDocument 	instanceVariableNames: 'type contents contentStream uri' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Network-MIME'","MIMEDocument class 	instanceVariableNames: ''"
RBMethodCommentsSpellingRule,"RBSpellingRule subclass: #RBMethodCommentsSpellingRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Spelling'","RBMethodCommentsSpellingRule class 	instanceVariableNames: ''"
NECLocalEntry,"NECEntry subclass: #NECLocalEntry 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NECompletion-Model'","NECLocalEntry class 	instanceVariableNames: ''"
RxmMarker,"RxmLink subclass: #RxmMarker 	instanceVariableNames: 'index' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Regex-Core'","RxmMarker class 	instanceVariableNames: ''"
DialogItemsChooser,"Object subclass: #DialogItemsChooser 	instanceVariableNames: 'methodNameUI choicesList selection unselectedItems selectedItems resultList model title selectedItemsSetterSelector unselectedLabel selectedLabel' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tools-Finder'","DialogItemsChooser class 	instanceVariableNames: ''"
RBPatternMethodNode,"RBMethodNode subclass: #RBPatternMethodNode 	instanceVariableNames: 'isList' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Core-Pattern'","RBPatternMethodNode class 	instanceVariableNames: ''"
RBPatternBlockToken,"RBValueToken subclass: #RBPatternBlockToken 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Core-Tokens'","RBPatternBlockToken class 	instanceVariableNames: ''"
FreeTypeCacheLinkedList,"LinkedList subclass: #FreeTypeCacheLinkedList 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FreeType-Cache'","FreeTypeCacheLinkedList class 	instanceVariableNames: ''"
RxsMessagePredicate,"RxsNode subclass: #RxsMessagePredicate 	instanceVariableNames: 'selector negated' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Regex-Core'","RxsMessagePredicate class 	instanceVariableNames: ''"
GoferUnload,"GoferWorking subclass: #GoferUnload 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Gofer-Core'","GoferUnload class 	instanceVariableNames: ''"
TimeProfiler,"MorphTreeModel subclass: #TimeProfiler 	instanceVariableNames: 'win rootMessageTally threshold minPercentageToExpand treeMorph block blockCodePane withBlockCodePane blockSource reportOtherProcesses showLeavesOnly codeTabPane resultPane result withToolBar' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tools-Profilers'","TimeProfiler class 	instanceVariableNames: ''"
