"version","package","class"
"7","Kernel-BytecodeEncoders","EncoderForSistaV1"
"7","Deprecated70","Key"
"7","ConfigurationCommandLineHandler-Core","ConfigurationCommandLineHandler"
"7","System-Announcements","ManifestSystemAnnouncements"
"7","Network-Kernel","SocketAddress"
"7","Ring-Deprecated-Core-Containers","ManifestRingCoreContainers"
"7","Spec-Deprecated","DynamicComposableModel"
"7","Tool-ExternalBrowser","ExternalBrowser"
"7","Collections-Unordered","SmallDictionary"
"7","OpalCompiler-Core","CompilationContext"
"7","RPackage-Core","ManifestRPackageCore"
"7","Reflectivity-Tools","HaltIconStyler"
"7","Slot-Core","AbstractLayout"
"7","TraitsV2","Trait"
"7","Athens-Examples","AthensSurfaceExamples"
"7","Spec-MorphicAdapters","MorphicImageAdapter"
"7","Spec-Tools","ManifestSpecTools"
"7","Morphic-Base","StringMorph"
"7","Tool-DependencyAnalyser-UI","DAClassNode"
"7","Deprecated70","EpLogNodeGraphModel"
"7","Deprecated70","Matrix"
"7","AST-Core","RBParseTreeRewriter"
"7","Spec-MorphicAdapters","MorphicListAdapter"
"7","Collections-Strings","ManifestCollectionsStrings"
"7","System-BasicCommandLineHandler","ManifestSystemBasicCommandLineHandler"
"7","Tool-Diff","ManifestToolDiff"
"7","BaselineOfDisplay","BaselineOfDisplay"
"7","Graphics-Files","PNGReadWriter"
"7","System-BasicCommandLineHandler","BasicCommandLineHandler"
"7","Spec-Deprecated","ComposableModel"
"7","Spec-Core","RadioButtonGroup"
"7","Kernel","Timespan"
"7","Collections-Support","ManifestCollectionsSupport"
"7","Unicode-Initialization","ManifestUnicodeInitialization"
"7","Graphics-Display Objects","Cursor"
"7","Tool-Base","ManifestToolBase"
"7","Iceberg","IceLocalBranch"
"7","Spec-MorphicAdapters","MorphicTreeNodeAdapter"
"7","Reflectivity","RFValueReification"
"7","Kernel","DelayNullScheduler"
"7","Morphic-Base","LayoutFrame"
"7","System-Model","Model"
"7","OSWindow-Core","OSWindowWorldMorphModel"
"7","Spec-MorphicAdapters","MorphicDropListAdapter"
"7","BaselineOfSUnit","BaselineOfSUnit"
"7","System-CommandLineHandler","PharoCommandLineHandler"
"7","FileSystem-Core","ManifestFileSystemCore"
"7","Multilingual-TextConverterOtherLanguages","ManifestMultilingualTextConverterOtherLanguages"
"7","Kernel-Tests","BasicBehaviorClassMetaclassTest"
"7","Graphics-Files","PluginBasedJPEGReadWriter"
"7","IssueTracking-Tests","ManifestIssueTrackingTests"
"7","Spec-Core","ManifestSpecCore"
"7","SmartSuggestions","SugsSuggestion"
"7","Zinc-Character-Encoding-Core","ZnCrPortableWriteStream"
"7","Spec-Deprecated","SliderModel"
"7","GT-Spotter","ManifestGTSpotter"
"7","SortFunctions-Core","SortFunction"
"7","Spec-Deprecated","MenuItemModel"
"7","Spec-Deprecated","DateModel"
"7","OpalCompiler-Core","OCCompilerASTPlugin"
"7","Kernel-BytecodeEncoders","EncoderForV3"
"7","Spec-Deprecated","MenuModel"
"7","Spec-Deprecated","ButtonModel"
"7","NECompletion","NECContext"
"7","Spec-Deprecated","ContainerModel"
"7","System-Hashing","ManifestSystemHashing"
"7","Spec-Deprecated","IconListModel"
"7","NECompletion","NECLocalEntry"
"7","Tool-ImageCleaner","ImageCleaner"
"7","Graphics-Tests","MarginTest"
"7","Tools","KeyPrinterMorph"
"7","System-CommandLine","ManifestSystemCommandLine"
"7","Iceberg","IceRemoteBranch"
"7","Spec-MorphicAdapters","MorphicWindowAdapter"
"7","Text-Scanning","ManifestTextScanning"
"7","Spec-MorphicAdapters","MorphicTreeAdapter"
"7","MonticelloTonel-Core","TonelShouldIgnore"
"7","BaselineOfUnifiedFFI","BaselineOfUnifiedFFI"
"7","Kernel","ManifestKernel"
"7","Spec-Layout","ManifestSpecLayout"
"7","NECompletion","NECController"
"7","Spec-Deprecated","AbstractWidgetModel"
"7","Fuel-Core","ManifestFuel"
"7","PharoBootstrap-Initialization","ManifestPharoBootstrapInitialization"
"7","Iceberg","IceDiff"
"7","System-Support-Tests","SystemVersionTest"
"7","Regex-Core","RxCharSetParser"
"7","Tool-ExternalBrowser","ManifestToolExternalBrowser"
"7","Spec-Deprecated","ImageModel"
"7","System-Finalization","ManifestSystemFinalization"
"7","Monticello-OldDataStreamCompatibility","ManifestMonticelloOldDataStreamCompatibility"
"7","NewValueHolder-Core","ManifestNewValueHolder"
"3","Kernel","ContextPart"
"3","Zinc-Character-Encoding-Core","ZnUTF8Encoder"
"3","Spec-Examples","ProtocolBrowser"
"3","Kernel","BlockClosure"
"3","ScriptLoader30","ScriptLoader"
"3","System-Settings","SettingBrowser"
"3","Shout","SHTextStylerST80"
"3","Spec-Core","ListModel"
"3","Kernel","Number"
"3","Zinc-HTTP","ZnManagingMultiThreadedServer"
"3","Regex-Core","RxsPiece"
"3","Deprecated30","SoundService"
"3","Zinc-HTTP","ZnSingleThreadedServer"
